Titre - Prompt IA;ID OBJ Prompt IA;Code Prompt IA;Règne;Galerie;Type Média;Usage Prompt;Prompt Maître;Contraintes Obligatoires;Nombre Propositions;Validation Humaine Obligatoire;Publication Automatique;Actif;Ordre Affichage;Validation DSE
Animal identification;ID-OBJ-PRM-000001;ANIMAL-IDENTIFICATION;ANIMAL;IDENTIFICATION;IMAGE;GENERATION;Créer une représentation réaliste et fidèle de {SUJET}, adulte, clairement identifiable, anatomie cohérente, environnement naturel correspondant à {HABITAT}, cadrage complet, éclairage naturel, haute définition, sans texte.;Aucun élément fantastique | aucune anatomie déformée | aucune marque | aucune signature | vérifier la cohérence scientifique;4;Oui;Non;Oui;10;Non
Animal jeune;ID-OBJ-PRM-000002;ANIMAL-JEUNE;ANIMAL;JEUNES;IMAGE;GENERATION;Créer une représentation réaliste d’un jeune {SUJET}, âge adapté, proportions naturelles, comportement paisible, environnement naturel correspondant à {HABITAT}, haute définition, sans texte.;Aucune apparence humaine | aucune anatomie déformée | aucune scène dangereuse | vérifier la cohérence scientifique;4;Oui;Non;Oui;20;Non
Animal habitat;ID-OBJ-PRM-000003;ANIMAL-HABITAT;ANIMAL;HABITAT;IMAGE;GENERATION;Créer une scène réaliste montrant {SUJET} dans son habitat naturel {HABITAT}, végétation climat relief et saison cohérents, composition documentaire, haute définition, sans texte.;Habitat réaliste | aucune construction incohérente | aucune marque | vérifier pays climat et saison;4;Oui;Non;Oui;30;Non
Animal nourriture;ID-OBJ-PRM-000004;ANIMAL-NOURRITURE;ANIMAL;NOURRITURE;IMAGE;GENERATION;Créer une scène éducative réaliste montrant {SUJET} avec sa nourriture naturelle {NOURRITURE}, comportement et environnement cohérents, haute définition, sans texte.;Aucune violence graphique | nourriture compatible avec l’espèce | aucune marque | contrôle scientifique obligatoire;4;Oui;Non;Oui;40;Non
Animal anatomie;ID-OBJ-PRM-000005;ANIMAL-ANATOMIE;ANIMAL;ANATOMIE;INFOGRAPHIE;GENERATION;Créer une illustration anatomique éducative de {SUJET}, proportions exactes, structures principales clairement différenciées, fond neutre, présentation scientifique propre.;Contenu non choquant | aucune information médicale non vérifiée | contrôle scientifique obligatoire | texte uniquement si validé;3;Oui;Non;Oui;50;Non
Animal squelette;ID-OBJ-PRM-000006;ANIMAL-SQUELETTE;ANIMAL;SQUELETTE;INFOGRAPHIE;GENERATION;Créer une illustration éducative du squelette complet de {SUJET}, vue latérale propre, proportions cohérentes, fond neutre, style scientifique.;Aucune déformation | aucun élément imaginaire | contrôle scientifique obligatoire | texte uniquement si validé;3;Oui;Non;Oui;60;Non
Végétal plante entière;ID-OBJ-PRM-000007;VEGETAL-PLANTE-ENTIERE;VEGETAL;PLANTE-ENTIERE;IMAGE;GENERATION;Créer une représentation botanique réaliste de {SUJET}, plante entière visible, port naturel, habitat cohérent, lumière naturelle, haute définition, sans texte.;Espèce identifiable | morphologie botanique cohérente | aucune couleur artificielle | contrôle scientifique;4;Oui;Non;Oui;70;Non
Végétal détails;ID-OBJ-PRM-000008;VEGETAL-DETAILS;VEGETAL;FEUILLES;IMAGE;GENERATION;Créer une planche botanique réaliste de {SUJET} montrant feuilles fleurs fruits graines et racines selon disponibilité réelle, fond neutre, haute définition.;Ne montrer que les éléments réellement associés à l’espèce | contrôle botanique | sans marque;4;Oui;Non;Oui;80;Non
Champignon identification;ID-OBJ-PRM-000009;CHAMPIGNON-IDENTIFICATION;CHAMPIGNON;ASPECT-CHAMPIGNON;IMAGE;GENERATION;Créer une représentation mycologique réaliste de {SUJET}, forme couleur chapeau pied et habitat cohérents, vue documentaire, haute définition, sans texte.;Ne jamais conclure à la comestibilité | contrôle mycologique obligatoire | aucune consigne de consommation;4;Oui;Non;Oui;90;Non
Minéral cristal;ID-OBJ-PRM-000010;MINERAL-CRISTAL;MINERAL;CRISTAUX;IMAGE;GENERATION;Créer une représentation réaliste de {SUJET}, cristaux formes couleurs textures éclat et matrice géologique cohérents, photographie de collection, haute définition, sans texte.;Aucune couleur impossible | composition à vérifier | aucune allégation de propriété thérapeutique;4;Oui;Non;Oui;100;Non
Minéral extraction;ID-OBJ-PRM-000011;MINERAL-EXTRACTION;MINERAL;EXTRACTION;IMAGE;GENERATION;Créer une scène documentaire réaliste illustrant l’extraction de {SUJET}, environnement industriel et équipements cohérents, sans marque, haute définition.;Respect sécurité | aucune pratique dangereuse promue | contexte géologique à vérifier;4;Oui;Non;Oui;110;Non
